prompt_id,caption,split,seed,bpm,keyscale,timesignature
p01_soft_piano__v01,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Keep the arrangement sparse and continuous with gradual eight-bar changes.",train,,80,,4
p01_soft_piano__v02,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Use a narrow melodic range and seamless transitions without dramatic accents.",train,,80,,4
p01_soft_piano__v03,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Maintain restrained dynamics and a stable background texture throughout.",train,,80,,4
p01_soft_piano__v04,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Emphasize gentle repetition with subtle timbral evolution and no breakdowns.",train,,80,,4
p01_soft_piano__v05,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Use smooth four-bar phrases and avoid abrupt harmonic or rhythmic changes.",train,,80,,4
p01_soft_piano__v06,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Keep the foreground minimal while the accompaniment remains even and predictable.",train,,80,,4
p01_soft_piano__v07,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Favor long connected layers with soft attacks and controlled high frequencies.",train,,80,,4
p01_soft_piano__v08,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Use understated recurring motifs with low contrast between adjacent sections.",train,,80,,4
p01_soft_piano__v09,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Maintain an unbroken concentration-friendly flow with restrained bass movement.",train,,80,,4
p01_soft_piano__v10,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Use gradual harmonic motion and a consistent pulse without fills or drops.",train,,80,,4
p01_soft_piano__v11,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Keep musical events evenly spaced with soft articulation and limited ornamentation.",train,,80,,4
p01_soft_piano__v12,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Favor warm balanced sonorities and slow texture changes without climactic gestures.",train,,80,,4
p01_soft_piano__v13,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Use a stable meter and quiet recurring figures with smooth phrase boundaries.",train,,80,,4
p01_soft_piano__v14,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Maintain low distraction through simple voicing and gently evolving ambience.",train,,80,,4
p01_soft_piano__v15,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Keep density moderate and consistent with no sudden pauses or prominent solos.",train,,80,,4
p01_soft_piano__v16,"Instrumental focus music with soft piano, steady pulse, restrained melody, smooth dynamics, low distraction, no vocals. Use calm cyclical phrasing and subtle variation while preserving an even energy level.",train,,80,,4
p02_felt_piano__v01,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Keep the arrangement sparse and continuous with gradual eight-bar changes.",train,,84,,4
p02_felt_piano__v02,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Use a narrow melodic range and seamless transitions without dramatic accents.",train,,84,,4
p02_felt_piano__v03,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Maintain restrained dynamics and a stable background texture throughout.",train,,84,,4
p02_felt_piano__v04,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Emphasize gentle repetition with subtle timbral evolution and no breakdowns.",train,,84,,4
p02_felt_piano__v05,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Use smooth four-bar phrases and avoid abrupt harmonic or rhythmic changes.",train,,84,,4
p02_felt_piano__v06,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Keep the foreground minimal while the accompaniment remains even and predictable.",train,,84,,4
p02_felt_piano__v07,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Favor long connected layers with soft attacks and controlled high frequencies.",train,,84,,4
p02_felt_piano__v08,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Use understated recurring motifs with low contrast between adjacent sections.",train,,84,,4
p02_felt_piano__v09,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Maintain an unbroken concentration-friendly flow with restrained bass movement.",train,,84,,4
p02_felt_piano__v10,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Use gradual harmonic motion and a consistent pulse without fills or drops.",train,,84,,4
p02_felt_piano__v11,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Keep musical events evenly spaced with soft articulation and limited ornamentation.",train,,84,,4
p02_felt_piano__v12,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Favor warm balanced sonorities and slow texture changes without climactic gestures.",train,,84,,4
p02_felt_piano__v13,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Use a stable meter and quiet recurring figures with smooth phrase boundaries.",train,,84,,4
p02_felt_piano__v14,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Maintain low distraction through simple voicing and gently evolving ambience.",train,,84,,4
p02_felt_piano__v15,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Keep density moderate and consistent with no sudden pauses or prominent solos.",train,,84,,4
p02_felt_piano__v16,"Instrumental focus music with felt piano, even rhythmic flow, sparse melodic movement, controlled dynamics, no vocals. Use calm cyclical phrasing and subtle variation while preserving an even energy level.",train,,84,,4
p03_piano_marimba__v01,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Keep the arrangement sparse and continuous with gradual eight-bar changes.",train,,88,,4
p03_piano_marimba__v02,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Use a narrow melodic range and seamless transitions without dramatic accents.",train,,88,,4
p03_piano_marimba__v03,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Maintain restrained dynamics and a stable background texture throughout.",train,,88,,4
